food;ingredients;category;kitchen;food_url
Закуска лечо;помидоры, сладкий перец, сахар, соль, уксусная кислота, растительное масло, чеснок;Закуски;Венгерская кухня;https://eda.ru/recepty/zakuski/lecho-28888
Закуска аджапсандали;помидоры, репчатый лук, морская соль, молотый черный перец, растительное масло, баклажаны;Закуски;Грузинская кухня;https://eda.ru/recepty/zakuski/zakuska-adzhapsandali-14281
Закуска вителло-тоннато;телячья вырезка, говяжий бульон, консервированный тунец в собственном соку, яичный желток, дижонская горчица, хересный уксус, оливковое масло, анчоусы, лимон, чеснок, соль, молотый черный перец;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/zakuska-vitello-tonnato-58547
Критская закуска;творожный сыр, петрушка, чеснок, фисташки, грецкие орехи, оливковое масло, черный душистый перец, паприка, тимьян, рассыпчатый творог;Закуски;Турецкая кухня;https://eda.ru/recepty/zakuski/kritskaya-zakuska-152979
Закуска из поросячьих ушек;свиное ухо, корень имбиря, зеленый лук, соль, сычуаньский перец, масло с чили, куриный бульон, черный рисовый уксус, сахар, соевый соус, жареный кунжут, кинза, перец чили;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-porosyachih-ushek-68591
Овощные закуски с творожным сыром;картофель, репа, свекла, салат радиккьо, сыр «альметте» с зеленью, сыр «альметте» с белыми грибами, сыр «альметте» с чесноком, сыр «альметте» с томатами по-итальянски, петрушка, укроп, мед, семечки подсолнуха, соль, свежемолотый черный перец;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/ovoschnye-zakuski-s-tvorozhnym-syrom-81280
Овощная закуска;цукини, авокадо, оливковое масло, огурцы, морская соль, паприка, сушеный эстрагон;Закуски;Веганская еда;https://eda.ru/recepty/zakuski/ovoschnaja-zakuska-18895
Еврейская закуска;куриное яйцо, плавленый сырок, майонез, перья чеснока;Закуски;Еврейская кухня;https://eda.ru/recepty/zakuski/evrejskaja-zakuska-28655
Горячая закуска в багете;сыр, французский багет, сладкий перец, куриное яйцо, майонез, растительное масло, соль, сосиски, петрушка, молотый черный перец;Закуски;Французская кухня;https://eda.ru/recepty/zakuski/gorjachaja-zakuska-v-bagete-36497
Закуска лечо;помидоры, сладкий перец, перец чили, сахар, соль, растительное масло, уксус;Закуски;Венгерская кухня;https://eda.ru/recepty/zakuski/zakuska-lecho-52760
