food;ingredients;category;kitchen;food_url
Ризотто;рис, репчатый лук, куриный бульон, оливковое масло, белое сухое вино, сливки, сыр пармезан;Ризотто;Авторская кухня;https://eda.ru/recepty/rizotto/rizotto-17052
Ризотто с шампиньонами;рис арборио, сливочное масло, репчатый лук, белое сухое вино, куриный бульон, шампиньоны, соль, шафран;Ризотто;Итальянская кухня;https://eda.ru/recepty/rizotto/rizotto-s-shampinonami-17656
Ризотто с курицей;рис арборио, репчатый лук, куриное филе, консервированная кукуруза, желтый сладкий перец, белое полусухое вино, сыр пармезан, куриный бульон, оливковое масло, соль, шафран, молотый черный перец;Ризотто;Итальянская кухня;https://eda.ru/recepty/rizotto/rizotto-s-kuricej-28421
Ризотто по-милански;рис, куриный бульон, сыр пармезан, репчатый лук, лук-порей, чеснок, шафран, помидоры, сливочное масло, оливковое масло, белое сухое вино, петрушка, соль, молотый черный перец;Ризотто;Итальянская кухня;https://eda.ru/recepty/rizotto/rizotto-po-milanski-15902
Ризотто с лисичками;рис, репчатый лук, красный лук, стебель сельдерея, куриный бульон, лисички, чеснок, петрушка, сливки, сливочное масло, оливковое масло, соль, молотый черный перец;Ризотто;Итальянская кухня;https://eda.ru/recepty/rizotto/rizotto-s-lisichkami-15905
Ризотто с тыквой;рис арборио, тыква, лук-шалот, сливочное масло, куриный бульон, бренди, рубленая петрушка, чеснок, тертый сыр пармезан ;Ризотто;Итальянская кухня;https://eda.ru/recepty/rizotto/rizotto-s-tikvoj-16200
Ризотто с рукколой и шпинатом;рис, рукола, шпинат, красный лук, имбирь, сухой мартини, оливковое масло, овощной бульон, перец чили, лайм, петрушка, тимьян, сахар, лимон, молотый белый перец, соль;Ризотто;Итальянская кухня;https://eda.ru/recepty/rizotto/rizotto-s-rukkoloj-shpinatom-15908
Ризотто алла миланезе;рис арборио, сливочное масло, шафран, репчатый лук, белое сухое вино, куриный бульон, тертый сыр пармезан , соль, свежемолотый черный перец;Ризотто;Итальянская кухня;https://eda.ru/recepty/rizotto/rizotto-ala-milaneze-92782
Ризотто с кукумарией;рис арборио, замороженная кукумария, лук-шалот, стебель сельдерея, чеснок, морковь, сыр пармезан, сливочное масло, оливковое масло, красное сухое вино, томатная паста , куриный бульон, сливки 33%-ные, петрушка, тимьян, соль, молотый черный перец;Ризотто;Авторская кухня;https://eda.ru/recepty/rizotto/rizotto-s-kukumariej-33459
Ризотто с грибами;рис, репчатый лук, белое сухое вино, сушеные белые грибы, сливочное масло, лук-шалот, твердый сыр, лавровый лист, тимьян, соль, молотый черный перец;Ризотто;Французская кухня;https://eda.ru/recepty/rizotto/rizotto-s-gribami-17804
Ризотто с зеленью;сливочное масло, рис карнароли, репчатый лук, белое сухое вино, листья шалфея, овощной бульон, свежая спаржа, зеленый лук, тертый сыр пармезан , шнитт-лук, кормовые бобы, соль, растительное масло, молотый черный перец;Ризотто;Европейская кухня;https://eda.ru/recepty/rizotto/rizotto-s-zelenju-18760
Ризотто с перцем;репчатый лук, чеснок, зеленый перец, свежие грибы, растительное масло, куриная грудка, рис арборио, специи, куриный бульон, консервированный зеленый горошек, консервированные помидоры, свежий красный перец;Ризотто;Итальянская кухня;https://eda.ru/recepty/rizotto/rizotto-s-percem-18390
Ризотто с редиской;редис, рис арборио, чеснок, красный лук, сливочное масло, оливковое масло, сливки 33%-ные, сыр пармезан, куриный бульон, сухой мартини, соль, молотый черный перец;Ризотто;Итальянская кухня;https://eda.ru/recepty/rizotto/rizotto-s-rediskoj-22093
Ризотто с мидиями и креветками;рис, мидии, помидоры, креветки, красный лук, лавровый лист, петрушка, белое сухое вино, сухой мартини, оливковое масло, овощной бульон, сливочное масло, лимон, тимьян, черный перец горошком, молотый белый перец, соль;Ризотто;Итальянская кухня;https://eda.ru/recepty/rizotto/rizotto-s-midijami-krevetkami-15903
Ризотто с белыми грибами и сливками;репчатый лук, рис карнароли, чеснок, свежие грибы, белое сухое вино, сливочное масло, оливковое масло, куриный бульон, сыр пармезан, сливки 20%-ные, соль;Ризотто;Итальянская кухня;https://eda.ru/recepty/rizotto/rizotto-s-belimi-gribami-i-slivkami-21397
Ризотто с горгонзоллой;рис для ризотто, овощной бульон, сыр горгонзола, репчатый лук, сливочное масло, молотый черный перец, белое вино;Ризотто;Итальянская кухня;https://eda.ru/recepty/rizotto/rizotto-s-gorgonzolloy-151582
Ризотто со сливками и сладким перцем;рис, сливочное масло, сладкий перец, репчатый лук, чеснок, овощной бульон, херес, сливки 35%-ные, тимьян, соль, молотый черный перец;Ризотто;Итальянская кухня;https://eda.ru/recepty/rizotto/rizotto-so-slivkami-sladkim-percem-15911
Ризотто с креветками;тигровые креветки, рис арборио, сливки 33%-ные, белое вино, рыбный бульон, помидоры, сыр пармезан, тимьян, чеснок;Ризотто;Итальянская кухня;https://eda.ru/recepty/rizotto/rizotto-s-krevetkami-174258
