food;ingredients;category;kitchen;food_url
Паста (тесто для пиццы);пшеничная мука, соль, сахар, вода, оливковое масло, сухие дрожжи;Паста и пицца;Итальянская кухня;https://eda.ru/recepty/pasta-picca/pasta-testo-dlja-picci-37503
Пицца с куриными потрошками и пастой;пшеничная мука, яичный желток, сливочное масло, соль, куриные потроха, паста, курица, репчатый лук, зелень;Паста и пицца;Итальянская кухня;https://eda.ru/recepty/pasta-picca/picca-s-kurinimi-potroshkami-pastoj-22798
Пицца «Маргарита» Вальтера Бизоффи;мука семола, пшеничная мука, сыр моцарелла для пиццы, сыр пармезан, оливковое масло, базилик, соль, вода, свежие дрожжи, помидоры пелати, сахар;Паста и пицца;Итальянская кухня;https://eda.ru/recepty/pasta-picca/picca-margarita-valtera-bizoffi-35393
Тонкое тесто для пиццы;пшеничная мука, соль, оливковое масло, сухие дрожжи, вода;Паста и пицца;Итальянская кухня;https://eda.ru/recepty/pasta-picca/tonkoe-testo-dlja-picci-22835
Чикагская пицца;сухие дрожжи, сахар, вода, пшеничная мука, кукурузная мука, сливочное масло, растительное масло, оливковое масло, репчатый лук, орегано, перец чили хлопьями, чеснок, помидоры пелати, томатная паста , сыр моцарелла для пиццы, тертый сыр пармезан , соль, молотый черный перец;Паста и пицца;Американская кухня;https://eda.ru/recepty/pasta-picca/chikagskaya-picca-137410
Турецкая пицца пиде;пшеничная мука, сухие дрожжи, растительное масло, вода, петрушка, чеснок, бараний фарш, перец чили, сладкий перец, репчатый лук, кумин (зира), перец чили хлопьями, томатная паста , оливковое масло, соль, молотый черный перец, сахар;Паста и пицца;Турецкая кухня;https://eda.ru/recepty/pasta-picca/pide-137411
Тесто для пиццы с оливковым маслом;вода, пшеничная мука, сухие дрожжи, соль, оливковое масло;Паста и пицца;Итальянская кухня;https://eda.ru/recepty/pasta-picca/testo-dlja-picci-s-olivkovim-maslom-28047
Пицца с сыром и грушей;пшеничная мука, сыр моцарелла, сыр горгонзола, груши «конференц», оливковое масло, сухие дрожжи, соль;Паста и пицца;Итальянская кухня;https://eda.ru/recepty/pasta-picca/picca-s-sirom-i-grushej-42416
Хрустящее тесто для пиццы;пшеничная мука, оливковое масло, молоко, куриное яйцо, соль;Паста и пицца;Итальянская кухня;https://eda.ru/recepty/pasta-picca/hrustjashhee-testo-dlja-picci-24948
Пицца с голубым сыром и грушей;пшеничная мука, вода, соль, оливковое масло, сухие дрожжи, сыр горгонзола, сыр моцарелла, груши;Паста и пицца;Итальянская кухня;https://eda.ru/recepty/pasta-picca/picca-s-golubim-sirom-i-grushej-17885
Домашняя пицца;пшеничная мука, вода, сахар, сухие дрожжи, оливковое масло, соль, томатный соус для пиццы, салями, маслины без косточек, сыр моцарелла для пиццы;Паста и пицца;Европейская кухня;https://eda.ru/recepty/pasta-picca/domashnyaya-picca-140418
Тесто для пиццы с любой начинкой;пшеничная мука, соль, сахар, сухие дрожжи, подсолнечное масло, куриное яйцо, вода;Паста и пицца;Европейская кухня;https://eda.ru/recepty/pasta-picca/testo-dlja-picci-s-ljuboj-nachinkoj-32526
Пицца «Салями пиканте»;тесто для пиццы, томатный соус, сыр моцарелла для пиццы, острая салями, оливковое масло;Паста и пицца;Итальянская кухня;https://eda.ru/recepty/pasta-picca/picca-saljami-pikante-35394
Пицца;пшеничная мука, соль, оливковое масло, свежие дрожжи, вода, вяленые помидоры, базилик, сыр моцарелла;Паста и пицца;Итальянская кухня;https://eda.ru/recepty/pasta-picca/picca-24496
Пицца «Салями пиканте»;тесто для пиццы, томатный соус, сыр моцарелла для пиццы, острая салями, оливковое масло;Паста и пицца;Итальянская кухня;https://eda.ru/recepty/pasta-picca/picca-saljami-pikante-35394
Пицца домашняя;пшеничная мука, соль, вода, оливковое масло, сухие дрожжи;Паста и пицца;Итальянская кухня;https://eda.ru/recepty/pasta-picca/picca-domashnjaja-27790
Макароны по-флотски с томатной пастой;фарш, макароны, репчатый лук, соль, молотый черный перец, растительное масло, томатная паста ;Паста и пицца;Итальянская кухня;https://eda.ru/recepty/pasta-picca/makarony-po-flotski-28078
Тонкое хрустящее тесто для пиццы;пшеничная мука, тростниковый сахар, сухие дрожжи, соль, вода;Паста и пицца;Итальянская кухня;https://eda.ru/recepty/pasta-picca/tonkoe-hrustjashhee-testo-dlja-picci-34366
Пицца «Ди буффало»;тесто для пиццы, томатный соус, сыр моцарелла для пиццы, сыр моцарелла буффало, помидоры черри, оливковое масло, базилик;Паста и пицца;Итальянская кухня;https://eda.ru/recepty/pasta-picca/picca-di-buffalo-35399
Пицца без теста;репчатый лук, красный сладкий перец, куриное яйцо, растительное масло, помидоры, твердый сыр;Паста и пицца;Итальянская кухня;https://eda.ru/recepty/pasta-picca/picca-bez-testa-21471
